"User authenticated.","Tus credenciales son válidas."
"User not authenticated.","Tus credenciales no son válidas."
"Credentials section is incomplete. Please, complete the section and try again.","Configura tus credenciales para poder validarlas."
"Check if your credentials are correct for validate the callback url.","Verifica tus credenciales para validar la URL callback"
"The URL registered is different than declared in the module.","La URL registrada es diferente a la declarada en el modulo"
"Callback Registered.","Callback registrado."
"the first payment will be made at the time of purchase","El primer pago se realizará en el momento de la compra"
"in 5 biweekly installments of","en 5 cuotas quincenales de"
"Inventory error. Product stock could not decrease. Message > ","Error de inventario. No se pudo disminuir la cantidad de un producto. Mensaje > "
"The refund will be made offline since the Aplazo refund option is not activated in the configuration","El rembolso se realizará offline debido a que la configuración de rembolso está desactivada"
"Aplazo payment gateway is unavailable. Try again later.","El método de pago de Aplazo no está disponible. Intenta de nuevo mas tarde."
"We cannot retrieve the products of your order. Please add them again to the cart","No pudimos recuperar los productos de tu orden. Por favor agrégalos nuevamente a tu carrito."
"Communication with Aplazo Failed. Try again later","La comunicación con Aplazo falló. Intenta más tarde."
"Check Healthy Site","Revisar salud de sitio"
